master_id,main_release,artist_names,artist_ids,title,year,genres,styles
1211592,7971638,['Laulupuu'],[1476551],Suomalaisia Kansanlauluja,1981,"['Folk, World, & Country']","['Folk', 'Nordic']"
600351,2678143,['Kim Morrison'],[580263],Hollywood And Vine,1978,['Funk / Soul'],"['Soul', 'Disco']"
318623,2577264,"['MC Вспышкин', 'Никифоровна']","[1068140, 635470]",Sex,2004,['Electronic'],"['Trance', 'House']"
1470726,3386322,['MGM Studio Orchestra'],[289567],The Big Country & How The West Was Won,1990,['Stage & Screen'],"['Soundtrack', 'Score']"
3209430,28015452,['Al Terry'],[1489066],Say A Prayer For Me / I Nearly Made A Fool Of My Heart,1953,"['Folk, World, & Country']",['Country']
1459883,8300108,['Various'],[194],Super 20 Disco Specials & Love Songs,1976,"['Funk / Soul', 'Pop']",['Disco']
3340015,29240272,['bioMecanico'],[7649160],Blue Quinoa EP,2021,['Electronic'],['IDM']
304370,2083833,"['Greg Lake', 'Emerson, Lake & Palmer']","[259120, 39765]",C'est La Vie / Jeremy Bender,1977,['Rock'],['Art Rock']
1525006,2131032,['Killing Heidi'],[11446],Heavensent,2001,['Rock'],[]
3356317,2915149,"['Marius Dragomir', 'Nadia Dragomir']","[2172527, 2172526]",Asta-mi Place,1999,"['Pop', 'Folk, World, & Country']","['Latin', 'Euro House', 'Europop']"
1472513,12878204,['Jedi (4)'],[233306],Kniteforce Remixes,2018,['Electronic'],"['Breakbeat', 'Hardcore', 'Happy Hardcore']"
3108225,27076122,['Kapelle „Bergfreund“'],[12978369],Stettler In Form / Schwalbenzug,0,"['Folk, World, & Country']",['Volksmusik']
127521,84671,"['DJ Laz', 'Danny D (2)']","[67691, 67692]",Mami El Negro,1991,"['Electronic', 'Hip Hop', 'Latin']",['Miami Bass']
